,host_id,host_location,host_acceptance_rate,bathrooms,amenities,review_scores_value
125,21631889,"Cambridge, MA",100%,2.0,"[""Central air conditioning"", ""Heating"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Dishwasher"", ""Free dryer \u2013 In unit"", ""First aid kit"", ""Iron"", ""Elevator"", ""Ethernet connection"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Fire extinguisher"", ""Pack \u2019n play/Travel crib"", ""Self check-in"", ""Shampoo"", ""Oven"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Essentials"", ""Hot water"", ""Microwave"", ""Free washer \u2013 In unit"", ""Smart lock"", ""Exterior security cameras on property"", ""48 inch HDTV"", ""Hangers"", ""Cooking basics"", ""Paid parking on premises"", ""Bathtub"", ""Stove"", ""Single level home"", ""Bed linens"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Kitchen"", ""Long term stays allowed"", ""Wifi""]",4.59
252,7421025,"Cambridge, MA",,1.0,"[""Heating"", ""Paid washer \u2013 In building"", ""Portable air conditioning"", ""Wine glasses"", ""Iron"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Stainless steel single oven"", ""Fire extinguisher"", ""Self check-in"", ""Paid dryer \u2013 In building"", ""Smoke alarm"", ""Hot water"", ""Microwave"", ""Gas stove"", ""Freezer"", ""Hangers"", ""Hot water kettle"", ""Cooking basics"", ""Window AC unit"", ""Bathtub"", ""Single level home"", ""Coffee maker: drip coffee maker"", ""Dining table"", ""Cleaning products"", ""Carbon monoxide alarm"", ""Kitchen"", ""Keypad"", ""Long term stays allowed"", ""TV"", ""Wifi""]",5.0
700,373675137,"Boston, MA",94%,1.0,"[""Paid washer \u2013 In building"", ""Books and reading material"", ""Coffee maker"", ""Conditioner"", ""Dishwasher"", ""Wine glasses"", ""Iron"", ""Clothing storage"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Shampoo"", ""Extra pillows and blankets"", ""Paid dryer \u2013 In building"", ""Smoke alarm"", ""Essentials"", ""Body soap"", ""Hot water"", ""Microwave"", ""Gas stove"", ""Kitchen"", ""Lockbox"", ""Hangers"", ""Ceiling fan"", ""Free parking on premises"", ""Cooking basics"", ""Lock on bedroom door"", ""Shower gel"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Dining table"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Central heating"", ""Long term stays allowed"", ""TV"", ""Wifi""]",4.78
1000,2111161,"Mid-Cambridge, MA",91%,2.5,"[""Smoke alarm"", ""Fire extinguisher"", ""Self check-in"", ""BBQ grill"", ""Outdoor dining area"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Keypad"", ""Washer"", ""TV"", ""Wifi"", ""Piano""]",5.0
1250,373675137,"Boston, MA",94%,,"[""Bed linens"", ""Keypad"", ""Washer"", ""Central heating"", ""Smoke alarm"", ""Housekeeping - available at extra cost"", ""Shower gel"", ""Microwave"", ""Wifi"", ""Body soap"", ""Conditioner"", ""Refrigerator"", ""Kitchen"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Shampoo"", ""Coffee maker: drip coffee maker"", ""Hangers"", ""Dishwasher"", ""Lock on bedroom door"", ""Self check-in""]",
300,209566405,,100%,,"[""Smoke alarm"", ""Fire extinguisher"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Kitchen"", ""Washer"", ""Wifi""]",4.67
301,51079261,"Cambridge, MA",100%,,"[""Iron"", ""Smoke alarm"", ""Essentials"", ""Host greets you"", ""Heating"", ""Hot water"", ""Hair dryer"", ""Dryer"", ""Fire extinguisher"", ""Bed linens"", ""Shampoo"", ""Hangers"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Washer"", ""TV"", ""Wifi""]",5.0
302,51079261,"Cambridge, MA",100%,,"[""Heating"", ""Host greets you"", ""Iron"", ""Washer"", ""Refrigerator"", ""Hair dryer"", ""Fire extinguisher"", ""Shampoo"", ""Smoke alarm"", ""Essentials"", ""Hot water"", ""Microwave"", ""Hangers"", ""Free parking on premises"", ""Dryer"", ""Bed linens"", ""Air conditioning"", ""Carbon monoxide alarm"", ""TV"", ""Wifi""]",4.86
303,36085037,,,,"[""Smoke alarm"", ""Essentials"", ""Heating"", ""Hair dryer"", ""Fire extinguisher"", ""Self check-in"", ""First aid kit"", ""Shampoo"", ""Private entrance"", ""Lockbox"", ""Hangers"", ""Carbon monoxide alarm"", ""Kitchen"", ""Wifi""]",
304,6839881,"Cambridge, MA",100%,,"[""Heating"", ""First aid kit"", ""Iron"", ""Washer"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Fire extinguisher"", ""Shampoo"", ""Smoke alarm"", ""Essentials"", ""Microwave"", ""Patio or balcony"", ""Hangers"", ""Cooking basics"", ""Paid parking on premises"", ""Dryer"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Wifi""]",
305,55152664,"Boston, MA",0%,1.0,"[""Heating"", ""Dishwasher"", ""Washer"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Fire extinguisher"", ""Shampoo"", ""Oven"", ""Private entrance"", ""Smoke alarm"", ""Essentials"", ""Hot water"", ""Patio or balcony"", ""Hangers"", ""Cooking basics"", ""Stove"", ""Dryer"", ""Bed linens"", ""Kitchen""]",
306,55152664,"Boston, MA",0%,,"[""Heating"", ""Dishwasher"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Fire extinguisher"", ""Free street parking"", ""Shampoo"", ""Oven"", ""Private entrance"", ""Smoke alarm"", ""Essentials"", ""Patio or balcony"", ""Hangers"", ""Cooking basics"", ""Stove"", ""Air conditioning"", ""Kitchen"", ""Wifi""]",
