,host_name,host_since,neighbourhood,property_type,room_type,price
0,Janet,2010-12-01,Neighborhood highlights,Entire rental unit,Entire home/apt,$270.00
1,Judith L,2009-09-24,Neighborhood highlights,Private room in condo,Private room,$154.00
2,Marc E,2010-01-27,,Private room in bed and breakfast,Private room,$154.00
3,Marc E,2010-01-27,,Private room in bed and breakfast,Private room,$183.00
4,Kevin,2011-03-08,Neighborhood highlights,Entire rental unit,Entire home/apt,$300.00
5,Marc E,2010-01-27,,Private room in bed and breakfast,Private room,$189.00
6,Janet,2010-12-01,Neighborhood highlights,Entire condo,Entire home/apt,$261.00
7,Louisa,2010-02-14,Neighborhood highlights,Entire home,Entire home/apt,
8,Jimmy,2012-04-24,Neighborhood highlights,Entire rental unit,Entire home/apt,"$1,425.00"
9,Elaine,2012-08-30,,Private room in rental unit,Private room,$188.00
10,,,Neighborhood highlights,Entire rental unit,Entire home/apt,$325.00
11,Greg,2011-09-13,,Entire rental unit,Entire home/apt,$141.00
12,Reem,2012-09-25,Neighborhood highlights,Entire rental unit,Entire home/apt,$320.00
13,Deborah,2012-12-27,,Private room in bed and breakfast,Private room,$56.00
14,Melissa,2013-01-28,Neighborhood highlights,Entire condo,Entire home/apt,$142.00
15,Eleanor,2012-07-29,,Entire rental unit,Entire home/apt,$123.00
16,Judith L,2009-09-24,Neighborhood highlights,Entire condo,Entire home/apt,$405.00
17,Jason,2013-04-21,,Private room in serviced apartment,Private room,$82.00
18,Jason,2013-04-21,,Private room in rental unit,Private room,$117.00
19,Erin,2012-06-02,Neighborhood highlights,Entire rental unit,Entire home/apt,$217.00
20,John,2013-05-10,Neighborhood highlights,Private room in rental unit,Private room,$62.00
21,Chunbai,2012-04-03,Neighborhood highlights,Entire condo,Entire home/apt,$132.00
22,Paul,2012-08-26,Neighborhood highlights,Entire rental unit,Entire home/apt,$180.00
23,Wendy,2013-04-27,,Entire rental unit,Entire home/apt,$175.00
24,Jenny,2013-07-18,Neighborhood highlights,Private room in bed and breakfast,Private room,
25,Jenny,2013-07-18,Neighborhood highlights,Private room in bed and breakfast,Private room,
26,Stuart,2013-08-08,Neighborhood highlights,Private room in condo,Private room,$94.00
27,Colleen,2013-08-30,Neighborhood highlights,Private room in home,Private room,$250.00
28,Case,2012-08-28,Neighborhood highlights,Entire rental unit,Entire home/apt,$130.00
29,Alan,2013-07-27,Neighborhood highlights,Private room in rental unit,Private room,$80.00
30,Churchill,2013-10-14,Neighborhood highlights,Entire serviced apartment,Entire home/apt,
31,Churchill,2013-10-14,Neighborhood highlights,Entire serviced apartment,Entire home/apt,
32,,,Neighborhood highlights,Entire rental unit,Entire home/apt,$141.00
33,Lucia,2013-11-14,Neighborhood highlights,Entire guest suite,Entire home/apt,$142.00
34,Steve,2013-09-14,Neighborhood highlights,Entire home,Entire home/apt,$383.00
35,Malgorzata A,2013-12-04,Neighborhood highlights,Private room in townhouse,Private room,$119.00
36,Kristin Anjela,2012-12-29,Neighborhood highlights,Entire condo,Entire home/apt,$121.00
37,Churchill,2013-10-14,Neighborhood highlights,Entire serviced apartment,Entire home/apt,
38,Doriana,2013-07-11,Neighborhood highlights,Entire condo,Entire home/apt,$155.00
39,Reem,2012-09-25,Neighborhood highlights,Entire rental unit,Entire home/apt,$431.00
40,Mona,2014-02-24,Neighborhood highlights,Private room in townhouse,Private room,$97.00
41,Caroline B,2014-02-26,Neighborhood highlights,Private room in home,Private room,$144.00
42,Shelley,2013-05-21,,Private room in home,Private room,
43,Blair,2014-04-23,Neighborhood highlights,Entire rental unit,Entire home/apt,
44,Churchill,2013-10-14,Neighborhood highlights,Entire serviced apartment,Entire home/apt,
45,Jason,2013-04-21,Neighborhood highlights,Private room in rental unit,Private room,$86.00
46,Reem,2012-09-25,Neighborhood highlights,Entire rental unit,Entire home/apt,$371.00
47,Charlton,2012-12-01,Neighborhood highlights,Entire townhouse,Entire home/apt,$276.00
