,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_listings_count,host_total_listings_count,id,host_id,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_identity_verified,has_availability,instant_bookable,amenities,host_since,host_location,host_name,listing_url
0,42.38258,-71.13646,5,1.0,2.0,2.0,$270.00,2,1125,2.0,4.0,1125.0,1125.0,2.2,1125.0,0,9,16,204,79,5,2,4.83,4.95,4.97,4.89,4.92,4.93,4.74,2.0,3.0,8521,306681,West Cambridge,,Entire rental unit,Entire home/apt,within a few hours,100%,60%,t,"['email', 'phone']",t,t,f,"[""Children\u2019s dinnerware"", ""Baking sheet"", ""Heating"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Dishwasher"", ""Host greets you"", ""Babysitter recommendations"", ""Iron"", ""Washer"", ""Refrigerator"", ""Dishes and silverware"", ""High chair"", ""Pack \u2019n play/Travel crib"", ""Shared patio or balcony"", ""Free street parking"", ""BBQ grill"", ""Shampoo"", ""Oven"", ""Children\u2019s books and toys"", ""Private entrance"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Essentials"", ""Shared backyard \u2013 Not fully fenced"", ""Hot water"", ""Microwave"", ""Hangers"", ""Cooking basics"", ""Paid parking on premises"", ""Beach essentials"", ""Bathtub"", ""Dryer"", ""Stove"", ""TV with standard cable"", ""Barbecue utensils"", ""Single level home"", ""Shower gel"", ""Bed linens"", ""Outlet covers"", ""Dedicated workspace"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Long term stays allowed"", ""Wifi""]",2010-12-01,"Cambridge, MA",Janet,https://www.airbnb.com/rooms/8521
1,42.3963,-71.13135,3,1.0,1.0,0.0,$154.00,3,14,3.0,4.0,14.0,14.0,3.0,14.0,25,51,81,356,189,10,2,4.79,4.74,4.78,4.91,4.92,4.79,4.77,4.0,4.0,11169,40965,North Cambridge,,Private room in condo,Private room,within a day,100%,55%,t,"['email', 'phone']",t,t,f,"[""Central air conditioning"", ""Heating"", ""Coffee maker"", ""Host greets you"", ""Coffee"", ""Portable fans"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Shampoo"", ""Children\u2019s books and toys"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Essentials"", ""Hot water"", ""Microwave"", ""Hangers"", ""Hot water kettle"", ""Bathtub"", ""Paid parking garage off premises"", ""Shower gel"", ""Bed linens"", ""Dedicated workspace"", ""Dining table"", ""EV charger"", ""Carbon monoxide alarm"", ""Wifi""]",2009-09-24,"Cambridge, MA",Judith L,https://www.airbnb.com/rooms/11169
2,42.36258,-71.09603,1,1.0,1.0,1.0,$154.00,10,730,5.0,10.0,1125.0,1125.0,8.6,1125.0,15,45,75,350,12,1,0,4.55,4.6,4.6,4.6,4.9,4.9,4.3,3.0,3.0,19581,74249,The Port,,Private room in bed and breakfast,Private room,within an hour,100%,100%,t,"['email', 'phone']",t,t,t,"[""Heating"", ""Luggage dropoff allowed"", ""General electric oven"", ""Dishwasher"", ""Wine glasses"", ""First aid kit"", ""Iron"", ""Washer"", ""Clothing storage"", ""Ethernet connection"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Fire extinguisher"", ""Shared patio or balcony"", ""Self check-in"", ""Shampoo"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Essentials"", ""Hot water"", ""Microwave"", ""Coffee maker: Keurig coffee machine, Nespresso"", ""Freezer"", ""Outdoor dining area"", ""Hangers"", ""Mini fridge"", ""Hot water kettle"", ""Cooking basics"", ""Paid parking on premises"", ""Window AC unit"", ""Lock on bedroom door"", ""Toaster"", ""Stove"", ""Dryer"", ""TV with standard cable"", ""Outdoor furniture"", ""Bed linens"", ""Dedicated workspace"", ""Dining table"", ""Building staff"", ""Carbon monoxide alarm"", ""Kitchen"", ""Long term stays allowed"", ""Wifi""]",2010-01-27,"Cambridge, MA",Marc E,https://www.airbnb.com/rooms/19581
3,42.36254,-71.09698,2,1.0,1.0,1.0,$183.00,5,730,4.0,10.0,1125.0,1125.0,8.4,1125.0,30,60,90,365,27,3,0,4.77,4.68,4.76,4.64,4.76,4.88,4.64,3.0,3.0,27498,74249,The Port,,Private room in bed and breakfast,Private room,within an hour,100%,100%,t,"['email', 'phone']",t,t,t,"[""Baking sheet"", ""Paid washer \u2013 In building"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Wine glasses"", ""40 inch TV with standard cable"", ""First aid kit"", ""Iron"", ""Ethernet connection"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Fire extinguisher"", ""Shared patio or balcony"", ""Self check-in"", ""Rice maker"", ""Shampoo"", ""Oven"", ""Extra pillows and blankets"", ""Paid dryer \u2013 In building"", ""Smoke alarm"", ""Essentials"", ""Backyard"", ""Hot water"", ""Microwave"", ""Coffee maker: Keurig coffee machine, Nespresso"", ""Clothing storage: closet and dresser"", ""Freezer"", ""Kitchen"", ""Outdoor dining area"", ""Hangers"", ""Mini fridge"", ""Hot water kettle"", ""Cooking basics"", ""Hammock"", ""Window AC unit"", ""Lock on bedroom door"", ""Toaster"", ""Stove"", ""Outdoor furniture"", ""Bed linens"", ""Dedicated workspace"", ""Dining table"", ""Paid parking lot on premises \u2013 3 spaces"", ""Building staff"", ""Carbon monoxide alarm"", ""Central heating"", ""Long term stays allowed"", ""Wifi""]",2010-01-27,"Cambridge, MA",Marc E,https://www.airbnb.com/rooms/27498
4,42.3695,-71.09921,4,1.0,2.0,2.0,$300.00,3,365,3.0,3.0,365.0,365.0,3.0,365.0,5,17,30,246,444,29,3,4.87,4.88,4.86,4.96,4.93,4.93,4.76,1.0,2.0,79762,430015,The Port,,Entire rental unit,Entire home/apt,within a day,100%,89%,t,"['email', 'phone']",t,t,f,"[""Heating"", ""Coffee maker"", ""Iron"", ""Refrigerator"", ""Dishes and silverware"", ""High chair"", ""Hair dryer"", ""Fire extinguisher"", ""Pets allowed"", ""Pack \u2019n play/Travel crib"", ""Free street parking"", ""Self check-in"", ""Shampoo"", ""Oven"", ""Smoke alarm"", ""Essentials"", ""Hot water"", ""Microwave"", ""Patio or balcony"", ""Hangers"", ""Free parking on premises"", ""Cooking basics"", ""Bathtub"", ""Stove"", ""TV with standard cable"", ""Building staff"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Wifi""]",2011-03-08,"Cambridge, MA",Kevin,https://www.airbnb.com/rooms/79762
5,42.36274,-71.09768,3,1.0,1.0,1.0,$189.00,5,365,4.0,10.0,1125.0,1125.0,8.4,1125.0,28,58,88,363,23,0,0,4.83,5.0,4.87,4.91,5.0,4.87,4.57,3.0,3.0,106474,74249,The Port,,Private room in bed and breakfast,Private room,within an hour,100%,100%,t,"['email', 'phone']",t,t,t,"[""Baking sheet"", ""Heating"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Wine glasses"", ""First aid kit"", ""Iron"", ""Washer"", ""Ethernet connection"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Fire extinguisher"", ""Shared patio or balcony"", ""Self check-in"", ""Shampoo"", ""Oven"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Essentials"", ""Fast wifi \u2013 119 Mbps"", ""Hot water"", ""Microwave"", ""Coffee maker: Keurig coffee machine, Nespresso"", ""Clothing storage: closet and dresser"", ""Freezer"", ""Outdoor dining area"", ""Hangers"", ""Mini fridge"", ""Hot water kettle"", ""Cooking basics"", ""Private backyard \u2013 Fully fenced"", ""Paid parking on premises"", ""Window AC unit"", ""Lock on bedroom door"", ""Toaster"", ""Stove"", ""Dryer"", ""TV with standard cable"", ""Outdoor furniture"", ""Bed linens"", ""Dedicated workspace"", ""Dining table"", ""Building staff"", ""Carbon monoxide alarm"", ""Kitchen"", ""Long term stays allowed""]",2010-01-27,"Cambridge, MA",Marc E,https://www.airbnb.com/rooms/106474
6,42.38227,-71.13643,3,1.0,1.0,1.0,$261.00,2,730,2.0,2.0,730.0,730.0,2.0,730.0,8,38,45,229,49,5,2,4.73,4.77,4.94,4.77,4.88,4.96,4.79,2.0,3.0,108898,306681,West Cambridge,,Entire condo,Entire home/apt,within a few hours,100%,60%,t,"['email', 'phone']",t,t,f,"[""Baking sheet"", ""Books and reading material"", ""Luggage dropoff allowed"", ""Laundromat nearby"", ""Conditioner"", ""Bikes"", ""Dishwasher"", ""Thermador electric stove"", ""Exercise equipment: stationary bike"", ""Under-counter small fridge with freezer refrigerator"", ""Window guards"", ""Wine glasses"", ""Fire pit"", ""Iron"", ""Host greets you"", ""Children\u2019s bikes"", ""Portable fans"", ""Dishes and silverware"", ""Hair dryer"", ""Shared patio or balcony"", ""Free street parking"", ""BBQ grill"", ""Shampoo"", ""Private entrance"", ""Coffee maker: french press"", ""Sound system"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Essentials"", ""Body soap"", ""Shared backyard \u2013 Not fully fenced"", ""Garden view"", ""Hot water"", ""Microwave"", ""Clothing storage: closet and dresser"", ""Freezer"", ""21 inch HDTV with Netflix, standard cable"", ""Kitchen"", ""Outdoor dining area"", ""Hangers"", ""Free washer \u2013 In building"", ""Mini fridge"", ""Hot water kettle"", ""Cooking basics"", ""Children\u2019s books and toys for ages 5-10 years old"", ""Microwave-Convection oven oven"", ""Hammock"", ""Free parking on premises \u2013 1 space"", ""Window AC unit"", ""Toaster"", ""Paid parking on premises"", ""Bathtub"", ""Cleaning available during stay"", ""Barbecue utensils"", ""Outdoor furniture"", ""Shower gel"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Dining table"", ""Carbon monoxide alarm"", ""Central heating"", ""Free dryer \u2013 In building"", ""Long term stays allowed"", ""Wifi""]",2010-12-01,"Cambridge, MA",Janet,https://www.airbnb.com/rooms/108898
7,42.36771,-71.1058,4,,1.0,,,28,120,28.0,28.0,120.0,120.0,28.0,120.0,0,0,0,0,172,0,0,4.88,4.92,4.98,4.97,4.95,4.98,4.75,10.0,13.0,231115,81038,Mid-Cambridge,,Entire home,Entire home/apt,within an hour,100%,94%,t,"['email', 'phone', 'work_email']",t,t,f,"[""TV with standard cable"", ""Iron"", ""Bed linens"", ""Fire extinguisher"", ""Keypad"", ""Dryer"", ""EV charger"", ""Smoke alarm"", ""Dishes and silverware"", ""BBQ grill"", ""Pets allowed"", ""Paid parking off premises"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Essentials"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Cooking basics"", ""Dedicated workspace"", ""Coffee maker"", ""Hot water"", ""First aid kit"", ""Refrigerator"", ""Backyard"", ""Kitchen"", ""Shared patio or balcony"", ""Carbon monoxide alarm"", ""Shampoo"", ""Air conditioning"", ""Stove"", ""Hangers"", ""Private entrance"", ""Heating"", ""Oven"", ""Self check-in""]",2010-02-14,"Cambridge, MA",Louisa,https://www.airbnb.com/rooms/231115
8,42.37147,-71.08939,7,2.0,4.0,6.0,"$1,425.00",2,28,2.0,2.0,1125.0,1125.0,2.0,1125.0,1,9,9,10,81,6,0,4.94,4.89,4.91,4.96,4.99,4.8,4.76,3.0,3.0,445407,2212429,Wellington-Harrington,,Entire rental unit,Entire home/apt,within an hour,100%,100%,t,"['email', 'phone', 'work_email']",t,t,t,"[""Heating"", ""Coffee maker"", ""First aid kit"", ""Iron"", ""Washer"", ""Clothing storage"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Room-darkening shades"", ""Fire extinguisher"", ""Self check-in"", ""BBQ grill"", ""Shampoo"", ""Children\u2019s books and toys"", ""Smoke alarm"", ""Backyard"", ""Essentials"", ""Body soap"", ""Hot water"", ""Microwave"", ""Smart lock"", ""Outdoor dining area"", ""Hangers"", ""Free parking on premises"", ""Cooking basics"", ""Dryer"", ""TV with standard cable"", ""Outdoor furniture"", ""Bed linens"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Wifi""]",2012-04-24,"Cambridge, MA",Jimmy,https://www.airbnb.com/rooms/445407
9,42.37103,-71.07557,2,1.0,1.0,1.0,$188.00,91,365,91.0,91.0,365.0,365.0,91.0,365.0,30,60,90,365,12,0,0,4.64,4.83,4.42,4.75,5.0,4.75,4.5,2.0,5.0,675441,3423245,East Cambridge,,Private room in rental unit,Private room,,,,f,"['email', 'phone']",t,t,t,"[""Essentials"", ""Elevator"", ""Heating"", ""Dryer"", ""Gym"", ""TV with standard cable"", ""Shampoo"", ""Pool"", ""Air conditioning"", ""Free parking on premises"", ""Kitchen"", ""Washer"", ""Indoor fireplace"", ""Hot tub"", ""Wifi""]",2012-08-30,"Cambridge, MA",Elaine,https://www.airbnb.com/rooms/675441
