,listing_url,last_scraped,source,name,description,neighborhood_overview,picture_url,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,bathrooms_text,amenities,calendar_updated,has_availability,calendar_last_scraped,first_review,last_review,license,instant_bookable,id,scrape_id,host_id,host_listings_count,host_total_listings_count,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_30,availability_60,availability_90,availability_365,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,accommodates,bathrooms,bedrooms,beds,latitude,longitude,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,estimated_occupancy_l365d,estimated_revenue_l365d
0,https://www.airbnb.com/rooms/8521,2025-06-26,city scrape,SunsplashedSerenity walk to Harvard & Fresh Pond,"An elegant, sun-splashed, 2 bedroom (+2offices) apartment with parking, a 20-minute walk or 7-minute bike ride to Harvard.  Enjoy this spacious 1st floor unit in a stylish 3-level house, with its gorgeous yard and two bluestone patios, on a quiet leafy street in Huron Village Cambridge.  Sleeps 5.","Huron Village is known for its charm.  We have playgrounds, a reservoir, small artisans, a used bookstore, antiques, and two bakery-cafes all within walking distance of Harvard Square.  You'll also find scrumptious take-out in several local places. (URL HIDDEN)<br />(URL HIDDEN)",https://a0.muscache.com/pictures/30536/072e0a55_original.jpg,https://www.airbnb.com/users/show/306681,Janet,2010-12-01,"Cambridge, MA","I'm a professor at one of the local universities and a long-time Cambridge resident.  I live on the second floor at 64 Granville Road with my daughter.  We enjoy sharing our ""Cambridge tips"" with all of our visitors: where to ice-skate in winter or rent a canoe in summer, the best local places for cheese, bread, and yummy ethnic take-out treats.  We can lend you bikes and direct you to the Minuteman Bikeway, an 11-mile shady ride through Arlington, Lexington and Bedford, or give you a couple of sleds and show you the hill at Fresh Pond.  Whatever the season, we look forward to welcoming you when you're in Cambridge.",within a few hours,100%,60%,t,https://a0.muscache.com/im/users/306681/profile_pic/1309790297/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/306681/profile_pic/1309790297/original.jpg?aki_policy=profile_x_medium,Cambridge,"['email', 'phone']",t,t,Neighborhood highlights,West Cambridge,,Entire rental unit,Entire home/apt,1 bath,"[""Children\u2019s dinnerware"", ""Baking sheet"", ""Heating"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Dishwasher"", ""Host greets you"", ""Babysitter recommendations"", ""Iron"", ""Washer"", ""Refrigerator"", ""Dishes and silverware"", ""High chair"", ""Pack \u2019n play/Travel crib"", ""Shared patio or balcony"", ""Free street parking"", ""BBQ grill"", ""Shampoo"", ""Oven"", ""Children\u2019s books and toys"", ""Private entrance"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Essentials"", ""Shared backyard \u2013 Not fully fenced"", ""Hot water"", ""Microwave"", ""Hangers"", ""Cooking basics"", ""Paid parking on premises"", ""Beach essentials"", ""Bathtub"", ""Dryer"", ""Stove"", ""TV with standard cable"", ""Barbecue utensils"", ""Single level home"", ""Shower gel"", ""Bed linens"", ""Outlet covers"", ""Dedicated workspace"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Long term stays allowed"", ""Wifi""]",,t,2025-06-26,2009-07-23,2025-05-31,C0121120491,f,8521,20250625193454,306681,2.0,3.0,79.0,5.0,2.0,0,9,16,204,4.83,4.95,4.97,4.89,4.92,4.93,4.74,2,2,0.0,0.0,0.41,5.0,1.0,2.0,2.0,42.38258,-71.13646,270.0,2.0,1125.0,2.0,4.0,1125.0,1125.0,2.2,1125.0,30,8100.0
1,https://www.airbnb.com/rooms/11169,2025-06-27,city scrape,Lovely Studio Room: Available for long w/ends,"Large sunny room w kitchenette & bath. Foam mat can be added for 3rd person. Must love rescue dogs; Callie is a gem; likes pets when you come and go. Quality queen mattress, fridge, microwave, good wifi, en-suite marble bath. Quiet, leafy Cambridge neighborhood, moments from city life. Walk, bike or bus to Harvard, Tufts, MIT, Lesley . **Must like kids, adorable ones live above & you will hear their footsteps at times. Covid Vaccination. No lock on room or use of other rooms.","The neighborhood is quiet and friendly and our street is tree-lined, and known as one of the nicest blocks in what is a great neighborhood. It's far enough away from the main street so you won't hear any noise, yet within moments you can be at the subway or in Davis or Porter Squares. there's a sweet playground nearby, a bike trail extending 19 miles, and many parks. A Whole Foods and Trader Joe's are both within a 15 minute walk.",https://a0.muscache.com/pictures/miso/Hosting-11169/original/0dc97418-a009-4e38-b8e3-f261a9773561.jpeg,https://www.airbnb.com/users/show/40965,Judith L,2009-09-24,"Cambridge, MA","Friendly, politically progressive, resourceful... I love hosting people from all over the world, and know the area well for a native NY'er. You will find the environment 'on the court' restful, peaceful and as one  guest from put it, ""I  figured you were a healer of some sort-- because your home feels healing."" Our place is relaxing and down to earth, with  an artistic and colorful ambiance, and lots of sunlight.",within a day,100%,55%,t,https://a0.muscache.com/im/users/40965/profile_pic/1417297269/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/40965/profile_pic/1417297269/original.jpg?aki_policy=profile_x_medium,Cambridge,"['email', 'phone']",t,t,Neighborhood highlights,North Cambridge,,Private room in condo,Private room,1 private bath,"[""Central air conditioning"", ""Heating"", ""Coffee maker"", ""Host greets you"", ""Coffee"", ""Portable fans"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Shampoo"", ""Children\u2019s books and toys"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Essentials"", ""Hot water"", ""Microwave"", ""Hangers"", ""Hot water kettle"", ""Bathtub"", ""Paid parking garage off premises"", ""Shower gel"", ""Bed linens"", ""Dedicated workspace"", ""Dining table"", ""EV charger"", ""Carbon monoxide alarm"", ""Wifi""]",,t,2025-06-27,2010-03-30,2025-06-25,,f,11169,20250625193454,40965,4.0,4.0,189.0,10.0,2.0,25,51,81,356,4.79,4.74,4.78,4.91,4.92,4.79,4.77,3,1,2.0,0.0,1.02,3.0,1.0,1.0,0.0,42.3963,-71.13135,154.0,3.0,14.0,3.0,4.0,14.0,14.0,3.0,14.0,60,9240.0
2,https://www.airbnb.com/rooms/19581,2025-06-26,city scrape,"Furnished suite, Windsor","Welcome to Area IV! We are located, conveniently at the foot of MIT, between Central and Kendall Sq, Cambridge.  5 minutes to MIT campus, 15 minutes walk to Harvard, and 15 minutes walk to MGH.  Hosts Patty and Marc will make you feel at home.<br /><br />Stays under 90 days are subject to 14.45% tax, collected on arrival",,https://a0.muscache.com/pictures/188f1b4b-f37b-473c-b28c-3962050e6fdc.jpg,https://www.airbnb.com/users/show/74249,Marc E,2010-01-27,"Cambridge, MA","We are adventure seekers.  Both Patty and I love to travel, and explore the world through food. ...",within an hour,100%,100%,t,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_x_medium,Central Square,"['email', 'phone']",t,t,,The Port,,Private room in bed and breakfast,Private room,1 private bath,"[""Heating"", ""Luggage dropoff allowed"", ""General electric oven"", ""Dishwasher"", ""Wine glasses"", ""First aid kit"", ""Iron"", ""Washer"", ""Clothing storage"", ""Ethernet connection"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Fire extinguisher"", ""Shared patio or balcony"", ""Self check-in"", ""Shampoo"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Essentials"", ""Hot water"", ""Microwave"", ""Coffee maker: Keurig coffee machine, Nespresso"", ""Freezer"", ""Outdoor dining area"", ""Hangers"", ""Mini fridge"", ""Hot water kettle"", ""Cooking basics"", ""Paid parking on premises"", ""Window AC unit"", ""Lock on bedroom door"", ""Toaster"", ""Stove"", ""Dryer"", ""TV with standard cable"", ""Outdoor furniture"", ""Bed linens"", ""Dedicated workspace"", ""Dining table"", ""Building staff"", ""Carbon monoxide alarm"", ""Kitchen"", ""Long term stays allowed"", ""Wifi""]",,t,2025-06-26,2010-03-06,2024-08-03,,t,19581,20250625193454,74249,3.0,3.0,12.0,1.0,0.0,15,45,75,350,4.55,4.6,4.6,4.6,4.9,4.9,4.3,3,0,3.0,0.0,0.06,1.0,1.0,1.0,1.0,42.36258,-71.09603,154.0,10.0,730.0,5.0,10.0,1125.0,1125.0,8.6,1125.0,20,3080.0
3,https://www.airbnb.com/rooms/27498,2025-06-27,city scrape,Furnished suite 2 @ the Windsor,"Welcome to Area IV! We are located, conveniently at the foot of MIT, between Central and Kendall Sq, Cambridge.  5 minutes to MIT campus, 15 minutes walk to Harvard, and 15 minutes walk to MGH.  Hosts Patty and Marc will make you feel at home.<br /><br />Stays under 90 days are taxed at 14.45 %, collected on arrival",,https://a0.muscache.com/pictures/bab30c3c-ff3c-4a1c-bbeb-72c3928d2008.jpg,https://www.airbnb.com/users/show/74249,Marc E,2010-01-27,"Cambridge, MA","We are adventure seekers.  Both Patty and I love to travel, and explore the world through food. ...",within an hour,100%,100%,t,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_x_medium,Central Square,"['email', 'phone']",t,t,,The Port,,Private room in bed and breakfast,Private room,1 private bath,"[""Baking sheet"", ""Paid washer \u2013 In building"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Wine glasses"", ""40 inch TV with standard cable"", ""First aid kit"", ""Iron"", ""Ethernet connection"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Fire extinguisher"", ""Shared patio or balcony"", ""Self check-in"", ""Rice maker"", ""Shampoo"", ""Oven"", ""Extra pillows and blankets"", ""Paid dryer \u2013 In building"", ""Smoke alarm"", ""Essentials"", ""Backyard"", ""Hot water"", ""Microwave"", ""Coffee maker: Keurig coffee machine, Nespresso"", ""Clothing storage: closet and dresser"", ""Freezer"", ""Kitchen"", ""Outdoor dining area"", ""Hangers"", ""Mini fridge"", ""Hot water kettle"", ""Cooking basics"", ""Hammock"", ""Window AC unit"", ""Lock on bedroom door"", ""Toaster"", ""Stove"", ""Outdoor furniture"", ""Bed linens"", ""Dedicated workspace"", ""Dining table"", ""Paid parking lot on premises \u2013 3 spaces"", ""Building staff"", ""Carbon monoxide alarm"", ""Central heating"", ""Long term stays allowed"", ""Wifi""]",,t,2025-06-27,2010-07-22,2025-03-22,,t,27498,20250625193454,74249,3.0,3.0,27.0,3.0,0.0,30,60,90,365,4.77,4.68,4.76,4.64,4.76,4.88,4.64,3,0,3.0,0.0,0.15,2.0,1.0,1.0,1.0,42.36254,-71.09698,183.0,5.0,730.0,4.0,10.0,1125.0,1125.0,8.4,1125.0,30,5490.0
4,https://www.airbnb.com/rooms/79762,2025-06-26,city scrape,Cambridge Getaway @ Harvard & MIT,Charming 2-bedroom apartment on the third floor of our beautiful Victorian home.,Annmarie and I have lived in this area for over 50 years. We both live on the first floor of this house and know where people want to go. We can suggest the best restaurants and attractions in the neighborhood.,https://a0.muscache.com/pictures/airflow/Hosting-79762/original/8d2b1a15-1ad5-4d49-94f4-6b40fcb75d9a.jpg,https://www.airbnb.com/users/show/430015,Kevin,2011-03-08,"Cambridge, MA","Annmarie and I were both born here in Cambridge. We have lived in the same location our entire lives. It is a wonderful area for visiting the city..We started with Airbnb for 4 years now and it has been a wonderfull experience. Many people have stayed here from all over the world.. Marathons, Graduations, Reunions and Family get togethers. We are surrounded by Great restaurant's and cafe's.. We are 5 minutes to bus lines and the Redline. You can walk to Harvard or MIT in 10-15 minutes Walkability has a 95% rating. We also have free parking.",within a day,100%,89%,t,https://a0.muscache.com/im/users/430015/profile_pic/1355418255/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/430015/profile_pic/1355418255/original.jpg?aki_policy=profile_x_medium,Cambridge,"['email', 'phone']",t,t,Neighborhood highlights,The Port,,Entire rental unit,Entire home/apt,1 bath,"[""Heating"", ""Coffee maker"", ""Iron"", ""Refrigerator"", ""Dishes and silverware"", ""High chair"", ""Hair dryer"", ""Fire extinguisher"", ""Pets allowed"", ""Pack \u2019n play/Travel crib"", ""Free street parking"", ""Self check-in"", ""Shampoo"", ""Oven"", ""Smoke alarm"", ""Essentials"", ""Hot water"", ""Microwave"", ""Patio or balcony"", ""Hangers"", ""Free parking on premises"", ""Cooking basics"", ""Bathtub"", ""Stove"", ""TV with standard cable"", ""Building staff"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Wifi""]",,t,2025-06-26,2011-05-05,2025-06-19,STR-15661,f,79762,20250625193454,430015,1.0,2.0,40.3,29.0,3.0,5,17,30,246,4.87,4.88,4.86,4.96,4.93,4.93,4.76,1,1,0.0,0.0,2.58,4.0,1.0,2.0,2.0,42.3695,-71.09921,300.0,3.0,365.0,3.0,3.0,365.0,365.0,3.0,365.0,174,52200.0
5,https://www.airbnb.com/rooms/106474,2025-06-26,city scrape,large furnished suite in Central sq,"Welcome to Area IV! We are located, conveniently at the foot of MIT, between Central and Kendall Sq, Cambridge.  5 minutes to MIT campus, 15 minutes walk to Harvard, and 15 minutes walk to MGH.  Hosts Patty and Marc will make you feel at home.<br /><br /> Stays under 90 days are taxed at 14.45%, collected on arrival",,https://a0.muscache.com/pictures/f4794a48-e943-40c3-9262-20a38d687750.jpg,https://www.airbnb.com/users/show/74249,Marc E,2010-01-27,"Cambridge, MA","We are adventure seekers.  Both Patty and I love to travel, and explore the world through food. ...",within an hour,100%,100%,t,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/74249/profile_pic/1300493791/original.jpg?aki_policy=profile_x_medium,Central Square,"['email', 'phone']",t,t,,The Port,,Private room in bed and breakfast,Private room,1 private bath,"[""Baking sheet"", ""Heating"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Wine glasses"", ""First aid kit"", ""Iron"", ""Washer"", ""Ethernet connection"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Fire extinguisher"", ""Shared patio or balcony"", ""Self check-in"", ""Shampoo"", ""Oven"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Essentials"", ""Fast wifi \u2013 119 Mbps"", ""Hot water"", ""Microwave"", ""Coffee maker: Keurig coffee machine, Nespresso"", ""Clothing storage: closet and dresser"", ""Freezer"", ""Outdoor dining area"", ""Hangers"", ""Mini fridge"", ""Hot water kettle"", ""Cooking basics"", ""Private backyard \u2013 Fully fenced"", ""Paid parking on premises"", ""Window AC unit"", ""Lock on bedroom door"", ""Toaster"", ""Stove"", ""Dryer"", ""TV with standard cable"", ""Outdoor furniture"", ""Bed linens"", ""Dedicated workspace"", ""Dining table"", ""Building staff"", ""Carbon monoxide alarm"", ""Kitchen"", ""Long term stays allowed""]",,t,2025-06-26,2011-09-05,2024-06-09,ROT-10694669-006,t,106474,20250625193454,74249,3.0,3.0,23.0,0.0,0.0,28,58,88,363,4.83,5.0,4.87,4.91,5.0,4.87,4.57,3,0,3.0,0.0,0.14,3.0,1.0,1.0,1.0,42.36274,-71.09768,189.0,5.0,365.0,4.0,10.0,1125.0,1125.0,8.4,1125.0,0,0.0
6,https://www.airbnb.com/rooms/108898,2025-06-26,city scrape,"""The Treehouse"" :   Elegant living near Harvard","An elegant, contemporary, top-floor unit in quiet, green, Huron Village Cambridge, with its boutiques, restaurants, galleries, gourmet grocery,  antique shop, & used bookstore. Walk to Harvard & Porter Sqs, the Charles River, & Fresh Pond.  Ride  the Minuteman Bike Path (a BlueBike station is 2 blocks away).  Enjoy the garden: 2 patios, a double hammock, lounge chairs, a croquet lawn & a bocce court (all with wi-fi). 5/15-8/31 short-term stays; 9/1 -5/15 long-term stays only (3 months or more).","Huron Village is known for its charm.  We have playgrounds, a reservoir, small artisans, a used bookstore, antiques, and two bakery-cafes.  And you'll find  scrumptious take-out, available in several local places.  We're within walking distance of Harvard Square and on 3 bus lines .  (URL HIDDEN)<br />(URL HIDDEN)",https://a0.muscache.com/pictures/4382175/5853951c_original.jpg,https://www.airbnb.com/users/show/306681,Janet,2010-12-01,"Cambridge, MA","I'm a professor at one of the local universities and a long-time Cambridge resident.  I live on the second floor at 64 Granville Road with my daughter.  We enjoy sharing our ""Cambridge tips"" with all of our visitors: where to ice-skate in winter or rent a canoe in summer, the best local places for cheese, bread, and yummy ethnic take-out treats.  We can lend you bikes and direct you to the Minuteman Bikeway, an 11-mile shady ride through Arlington, Lexington and Bedford, or give you a couple of sleds and show you the hill at Fresh Pond.  Whatever the season, we look forward to welcoming you when you're in Cambridge.",within a few hours,100%,60%,t,https://a0.muscache.com/im/users/306681/profile_pic/1309790297/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/306681/profile_pic/1309790297/original.jpg?aki_policy=profile_x_medium,Cambridge,"['email', 'phone']",t,t,Neighborhood highlights,West Cambridge,,Entire condo,Entire home/apt,1 bath,"[""Baking sheet"", ""Books and reading material"", ""Luggage dropoff allowed"", ""Laundromat nearby"", ""Conditioner"", ""Bikes"", ""Dishwasher"", ""Thermador electric stove"", ""Exercise equipment: stationary bike"", ""Under-counter small fridge with freezer refrigerator"", ""Window guards"", ""Wine glasses"", ""Fire pit"", ""Iron"", ""Host greets you"", ""Children\u2019s bikes"", ""Portable fans"", ""Dishes and silverware"", ""Hair dryer"", ""Shared patio or balcony"", ""Free street parking"", ""BBQ grill"", ""Shampoo"", ""Private entrance"", ""Coffee maker: french press"", ""Sound system"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Essentials"", ""Body soap"", ""Shared backyard \u2013 Not fully fenced"", ""Garden view"", ""Hot water"", ""Microwave"", ""Clothing storage: closet and dresser"", ""Freezer"", ""21 inch HDTV with Netflix, standard cable"", ""Kitchen"", ""Outdoor dining area"", ""Hangers"", ""Free washer \u2013 In building"", ""Mini fridge"", ""Hot water kettle"", ""Cooking basics"", ""Children\u2019s books and toys for ages 5-10 years old"", ""Microwave-Convection oven oven"", ""Hammock"", ""Free parking on premises \u2013 1 space"", ""Window AC unit"", ""Toaster"", ""Paid parking on premises"", ""Bathtub"", ""Cleaning available during stay"", ""Barbecue utensils"", ""Outdoor furniture"", ""Shower gel"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Dining table"", ""Carbon monoxide alarm"", ""Central heating"", ""Free dryer \u2013 In building"", ""Long term stays allowed"", ""Wifi""]",,t,2025-06-26,2011-05-24,2025-06-08,CO121110491,f,108898,20250625193454,306681,2.0,3.0,49.0,5.0,2.0,8,38,45,229,4.73,4.77,4.94,4.77,4.88,4.96,4.79,2,2,0.0,0.0,0.29,3.0,1.0,1.0,1.0,42.38227,-71.13643,261.0,2.0,730.0,2.0,2.0,730.0,730.0,2.0,730.0,30,7830.0
7,https://www.airbnb.com/rooms/231115,2025-06-30,previous scrape,HARVARD MIT STANDALONE CARRIAGE HOUSE LOFT!,"Standalone private artist's carriage house loft. Our live/work funky artist's carriage house is located on historic tree lined Bigelow Street smack in the middle of Harvard and MIT! Absolutely central to everything! Redline T is 2 short blocks away. Mass. ave bus and Hubway Bike spot is at the bottom of our street. Easy Ubers, Lyft and taxi's everywhere. And fabulous coffee shops, restaurants, Whole Foods market, pubs, bookstores, music, Harvard, MIT, and HBS within minutes!","Private standalone carriage house artists loft.  Walking distance to Harvard, MIT and HBS. Transportation including Redline T, bus and Hubway bikes steps away! Fantastic Parks, Restaurants, Pubs, Music, Whole Foods, Starbucks & Local Coffee Shops, Bookstores! Uber, Lyft, SAFR, and Taxis in abundance.",https://a0.muscache.com/pictures/2419060/a3e76d0f_original.jpg,https://www.airbnb.com/users/show/81038,Louisa,2010-02-14,"Cambridge, MA","We are a household of writers, Illustrators, animators, filmmakers, musicians, technologists, immersive storytellers, visual narrative artists, professors and entrepreneurs…",within an hour,100%,94%,t,https://a0.muscache.com/im/pictures/user/b4519df7-0bb6-40a1-b9cc-d9c0b35669c8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b4519df7-0bb6-40a1-b9cc-d9c0b35669c8.jpg?aki_policy=profile_x_medium,Cambridge,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Mid-Cambridge,,Entire home,Entire home/apt,1 bath,"[""TV with standard cable"", ""Iron"", ""Bed linens"", ""Fire extinguisher"", ""Keypad"", ""Dryer"", ""EV charger"", ""Smoke alarm"", ""Dishes and silverware"", ""BBQ grill"", ""Pets allowed"", ""Paid parking off premises"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Essentials"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Cooking basics"", ""Dedicated workspace"", ""Coffee maker"", ""Hot water"", ""First aid kit"", ""Refrigerator"", ""Backyard"", ""Kitchen"", ""Shared patio or balcony"", ""Carbon monoxide alarm"", ""Shampoo"", ""Air conditioning"", ""Stove"", ""Hangers"", ""Private entrance"", ""Heating"", ""Oven"", ""Self check-in""]",,t,2025-06-30,2011-10-24,2019-11-10,C0194540491,f,231115,20250625193454,81038,10.0,13.0,172.0,0.0,0.0,0,0,0,0,4.88,4.92,4.98,4.97,4.95,4.98,4.75,9,9,0.0,0.0,1.03,4.0,1.3,1.0,1.7,42.36771,-71.1058,220.9,28.0,120.0,28.0,28.0,120.0,120.0,28.0,120.0,0,17531.2
8,https://www.airbnb.com/rooms/445407,2025-06-27,city scrape,East Cambridge Apartment,Our four bedroom home is tucked away in a wonderful neighborhood in East Cambridge.  Walk to great neighborhood restaurants and enjoy day trips to Boston with easy access to bus and train lines.  Enjoy the backyard and charm of Cambridge.,Neighborhood is tucked away behind MIT and Kendall Square.  East Cambridge still has a strong Portuguese population that is apparent with grape vines surrounding our yard.  Our oldest son goes to school down the street and we love the community and our neighborhood.  ,https://a0.muscache.com/pictures/airflow/Hosting-445407/original/f7820476-f669-497f-8e09-cb0874b44782.jpg,https://www.airbnb.com/users/show/2212429,Jimmy,2012-04-24,"Cambridge, MA","My wife and I are teachers north of Boston and have 4 children.  We enjoy traveling, being active, and spending time in Cape Cod and Lake Ontario.
  
As a family we enjoy seeing different places and experiencing different cultures.  We love the concept of Airbnb and as a young family, we love the idea of living somewhere else and having the flexibility/comforts of a kitchen and yard.",within an hour,100%,100%,t,https://a0.muscache.com/im/users/2212429/profile_pic/1423275652/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/2212429/profile_pic/1423275652/original.jpg?aki_policy=profile_x_medium,Cambridge,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Wellington-Harrington,,Entire rental unit,Entire home/apt,2 baths,"[""Heating"", ""Coffee maker"", ""First aid kit"", ""Iron"", ""Washer"", ""Clothing storage"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Room-darkening shades"", ""Fire extinguisher"", ""Self check-in"", ""BBQ grill"", ""Shampoo"", ""Children\u2019s books and toys"", ""Smoke alarm"", ""Backyard"", ""Essentials"", ""Body soap"", ""Hot water"", ""Microwave"", ""Smart lock"", ""Outdoor dining area"", ""Hangers"", ""Free parking on premises"", ""Cooking basics"", ""Dryer"", ""TV with standard cable"", ""Outdoor furniture"", ""Bed linens"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Wifi""]",,t,2025-06-27,2012-06-29,2025-04-24,STR-17249,t,445407,20250625193454,2212429,3.0,3.0,81.0,6.0,0.0,1,9,9,10,4.94,4.89,4.91,4.96,4.99,4.8,4.76,2,2,0.0,0.0,0.51,7.0,2.0,4.0,1.7,42.37147,-71.08939,1425.0,2.0,28.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,36,51300.0
9,https://www.airbnb.com/rooms/675441,2025-06-26,city scrape,Waterfront-1 Bed Room Luxury Condo,,,https://a0.muscache.com/pictures/miso/Hosting-675441/original/63339161-3fe0-463d-bebf-684d712518ac.jpeg,https://www.airbnb.com/users/show/3423245,Elaine,2012-08-30,"Cambridge, MA","I like travel, music, art and fitness.  ",,,,f,https://a0.muscache.com/im/users/3423245/profile_pic/1372101176/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3423245/profile_pic/1372101176/original.jpg?aki_policy=profile_x_medium,East Cambridge,"['email', 'phone']",t,t,,East Cambridge,,Private room in rental unit,Private room,1 shared bath,"[""Essentials"", ""Elevator"", ""Heating"", ""Dryer"", ""Gym"", ""TV with standard cable"", ""Shampoo"", ""Pool"", ""Air conditioning"", ""Free parking on premises"", ""Kitchen"", ""Washer"", ""Indoor fireplace"", ""Hot tub"", ""Wifi""]",,t,2025-06-26,2012-09-24,2013-10-25,,t,675441,20250625193454,3423245,2.0,5.0,12.0,0.0,0.0,30,60,90,365,4.64,4.83,4.42,4.75,5.0,4.75,4.5,1,0,1.0,0.0,0.08,2.0,1.0,1.0,1.0,42.37103,-71.07557,188.0,91.0,365.0,91.0,91.0,365.0,365.0,91.0,365.0,0,0.0
